,power,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,19456,19568.17002,19451.98047,19978,20266.78,19607.20944,19911.97958,18981.37,19492.93947,19860.90955,19364.31,19561.11914,19451.75043,19305.95046,19001.96094,19414.09039,19750.73036,20255.36914,18961.71967,18958.31963
2,19320,19381.73997,19153.41992,19574,19749.11,19346.82031,19678.23016,18905.36,19233.72028,19569.22017,19254.31,19260.2793,19288.07953,19054.78954,19083.4707,19528.89017,19567.67014,20058.80078,18853.37079,18836.48079
3,19045,19092.91001,18861.4707,19266.88086,19289.65,19034.98022,19428.58017,18688.29,18935.00024,19324.54015,18992.85,18968.21094,18858.89038,18822.6704,19199.33008,19186.73087,19110.60091,19731.40039,18746.97003,18703.98004
4,18669,18819.35001,18579.71094,19076.26953,19035.8,18765.31039,19199.90997,18530.02,18680.4704,19075.48994,18730.53,18870.96094,18495.44928,18538.40924,18886.7793,19228.0101,19012.81013,19573.59961,18555.87991,18507.7999
5,18567,18758.62,18315.25977,18894.53906,19180.67,18552.18912,18956.22989,18605.41,18484.35912,18832.67986,18613.39,18789.44922,18249.61108,18290.90108,18777.09961,19106.42047,18775.86047,19327.93945,18377.93103,18326.68103
6,18387,18725.93,18177.73047,18793.33008,19268.88,18417.09943,18833.72058,18626.56,18380.02942,18741.92059,18513.67,18891.07031,18276.15051,18408.73051,18313.88086,19032.67059,18536.4006,19069.25977,18230.43973,18194.31973
7,18419,18783.33,18279.93945,18821.03906,19758.44,18474.40927,18857.1091,18626.1,18457.26926,18799.75913,18562.97,19072.7207,18235.07056,18566.94061,18091.5293,18935.70027,18483.38029,18959.30078,18219.85986,18226.99988
8,18503,18946.86999,18737.31055,19150.41992,20617.22,18707.98929,19158.65994,18762.96,18758.31929,19145.69994,18689.69,19424.11914,18305.38922,18886.63921,18591.51953,19054.30939,18575.24939,19086.50977,18475.18982,18538.09983
9,19225,19639.78001,19621.06055,19736.85938,21878.38,19400.76993,19857.2605,19506.84,19476.90993,19827.19049,19349.26,19991.65039,18874.78058,19527.89056,19261.56055,19935.12065,19450.68064,19660.41016,19155.37024,19257.75024
10,20178,20602.86,20972.4707,20570.48047,23215.86,20516.50037,21049.30994,20554.59,20628.18037,21022.16995,20299.65,21033.43945,20251.14941,20733.18943,20740.94922,21218.99976,20801.69975,20847.83984,20305.05963,20443.42963
11,22345,22464.98999,22656.35938,21801.40039,24790.41,22169.01056,22621.92949,22548.71,22308.34056,22638.75949,22305.05,22571.35938,22310.52106,22670.66104,22632.59961,22889.83008,22349.03009,22376.88086,21836.20032,22007.76032
12,24411,24132.64,24492.38086,23246.11914,26281.58,23914.35905,24414.95017,24302.38,24095.28905,24466.86017,24175.66,24211.58984,24279.90003,24537.79004,24870.30078,24742.0293,24242.18928,24164.24023,23617.47956,23790.81956
13,26461,26156.22,26164.16992,24695.19922,27855.76,25609.84938,26069.14993,26314.23,25844.18938,26081.44994,26300.06,25883.40039,26301.46039,26339.29038,26947.82031,26779.04926,26187.49923,25910.7793,25321.68094,25471.21094
14,27354,27252.43,27508.46094,26023.08008,28877.82,26785.34976,27387.17912,27298.91,27042.48977,27389.49911,27370.98,27258.86914,27563.91943,27391.02943,28906.93945,28009.1795,27420.04951,27240.41016,26750.26086,26844.84086
15,28383,28184.38,28313.16016,27143.7793,29598.91,27557.9296,28238.14908,28078.68,27848.2896,28251.09908,28279.57,27956.43945,28111.57988,28209.16989,29660.25977,28890.36914,28390.03917,28298.78906,27696.41089,27774.91089
16,28361,28354.42001,28625.26953,27905.26953,29614.16,27943.30023,28682.26035,28074.34,28284.21024,28652.76034,28427.08,28573.48047,28104.06986,28455.84987,30261.28906,29241.45013,28776.51015,28780.86914,28200.89001,28274.92001
17,28986,28917.48,28547.5,28174.46094,29494.31,28027.84991,28774.94034,28581.01,28377.62991,28734.54034,28832.33,28779.61914,28432.44024,28863.23024,30498.35938,29182.88037,28675.36037,28918.09961,28329.53049,28437.65048
18,28730,28648.58999,28237.15039,28202.75977,29000.56,27920.27074,28650.62009,28233.93,28300.22073,28562.92007,28495,28602.59961,28036.05061,28512.4406,30408.00977,29008.35016,28586.14014,28934.71094,28179.88046,28357.45047
19,28352,28322.19,27873.98047,27997.25977,28492.16,27697.08958,28418.77924,27823.37,28114.50958,28328.74925,28033.02,28427.93945,27855.62038,28410.80038,29725.33984,28620.74103,28198.45102,28610.4707,27861.85007,28119.76009
20,28176,28013.99001,27552.06055,27672.17969,28048.05,27496.87995,28247.15909,27343.53,27914.80995,28135.68909,27714.32,28209.39063,27773.76052,28250.37051,29291.7793,28405.95074,27997.89074,28389.94922,27531.89911,27881.6391
21,28028,27884.95999,27281.40039,27334.69922,27800.49,27371.83052,28107.82031,27067.2,27784.34052,28005.49032,27649.44,28059.4707,27898.89034,28020.28035,29402.67969,28193.9205,27908.4105,28023.53906,27279.14069,27697.28067
22,27950,27850.47,27049.42969,27007.25977,27654.72,27320.74973,28045.54901,26923.42,27737.07973,27968.46901,27721.96,28185.58008,27948.66982,27977.53983,29362.41016,27968.00969,27900.32969,27827.44922,27141.83053,27580.89053
23,28158,27889.61,26807.35938,26797.06055,27582.84,27340.68941,27928.29919,26977.61,27757.92941,27882.60922,27947.7,28187.80078,28055.54952,28019.93952,29576.82031,27615.08953,27598.06954,27398.5,27045.09946,27468.95946
24,28036,27786.2,26557.15039,26647.55078,27260.48,27202.20907,27789.00912,26892.93,27621.77907,27767.98911,27895.1,27994.71094,28023.18021,27866.47021,29302.11914,27455.23053,27476.40054,27319.86914,26930.82987,27329.03987
25,27942,27600.93,26261.74023,26394.33984,26992.48,27068.03947,27580.54074,26847.19,27427.84947,27588.36076,27798.13,28056.99023,27809.72073,27723.93074,29650.60938,27317.65096,27636.19096,27131.06055,26804.12926,27111.94926
26,27628,27384.82001,25994.74023,26275.31055,26734.93,26855.58015,27420.90094,26745.43,27126.50015,27464.58092,27596.88,27932.33984,27679.08981,27637.8098,29903.50977,26938.33057,27192.80056,27142.88086,26648.7309,26884.71089
27,27394,27204.46,25805.64063,26227.33984,26661.06,26778.58057,27316.31976,26680.98,26954.39057,27330.68974,27441.93,27858.83008,27540.04014,27445.99014,29677.15039,27062.35999,27432.12998,27058.74023,26510.34956,26682.81956
28,27430,27090.19,25789.61914,26326.69922,26665.45,26784.75059,27347.09918,26721.65,26830.73059,27388.34917,27386.81,28253.30078,27462.68902,27367.259,29779.33008,26917.85965,27372.23964,27137.39063,26472.04966,26589.79966
29,27489,27190.47,26023.64063,26609.40039,27064.87,27088.17953,27536.30045,26927.46,27009.66953,27592.95044,27566.93,28585.4707,27665.04965,27540.03964,30031.33984,27359.39951,27709.02951,27392.75977,26614.2909,26694.7509
30,27944,27692.70001,26573.76953,27082.74023,27800.46,27638.25911,27958.42943,27481.97,27433.02912,28044.66943,28048.9,29294.08008,28085.23965,28094.90964,29928.07031,27692.60913,28121.16913,27910.24023,27028.93972,27096.55973
31,28336,28401.73999,27352.88086,27807.38086,28916.85,28400.85077,28576.12929,28203.04,28089.89075,28646.31929,28797.57,30057.59961,28882.24034,28741.95036,30080.01953,28486.80984,28994.77986,28465.67969,27729.78927,27799.37927
32,29133,29105.41001,28266.51953,28642.7207,30022.39,29257.77959,29336.27069,28993.16,28830.77959,29425.24069,29618.54,30594.75977,29461.08092,29375.15091,30317.07031,29066.93005,29623.47005,29096.57031,28619.98059,28698.29059
33,29807,29763.9,29106.66016,29451.7793,31148.13,30065.65048,30043.27069,29771.76,29492.91049,30088.07068,30456.01,31333.9707,30113.00099,30194.45099,30744.26953,29845.68063,30420.05064,29730.90039,29562.5807,29634.68071
34,30364,30395.61001,29756.94922,30185.88086,31869.9,30595.18942,30660.11899,30472.63,29917.81944,30714.74899,31022.21,31692.09961,30478.6804,30693.53041,31364.09961,30367.60999,31031.10999,30031.41016,30313.82977,30384.41977
35,30753,30686.60999,30117.25,30645.2207,32258.57,31001.69995,31162.84938,30802.67,30262.67993,31229.03938,31174.47,31857.16016,30816.73024,31051.63023,31824.13086,31361.30957,31844.48956,30155.43945,30852.85955,30893.02954
36,30655,30780.32997,30209.17969,30853.80078,32419.29,31319.11069,31514.80966,30896.03,30511.29065,31599.76967,31143.32,31793.14063,30998.78905,31127.72904,32703.61914,31248.87085,31813.79086,30150.35938,31126.19039,31147.29039
37,30812,30998.25002,30033.08008,30690,32371.97,31550.28906,31599.35994,31096.33,30713.61908,31664.31994,31300.16,31536.91992,31099.94084,31331.28084,33502.12891,31783.91998,32299.93998,30100.21094,31175.16,31152.39
38,31045,31111.05,29669.85938,30194.89063,31958.17,31512.32056,31428.46033,31266.09,30651.29055,31471.75034,31414.57,31342.59961,31247.80984,31626.48984,33491.98047,31799.84003,32332.14001,29874.66016,30951.16058,30917.55058
39,30836,30767.33,29139.91016,29538.09961,31335.41,31102.42017,30953.32001,30942.19,30259.55016,30885.02,30945.02,30750.16992,31040.14934,31494.82935,33051.94922,31597.83053,31937.64053,29517.03906,30470.93037,30431.62037
40,29941,29786.81,28444.18945,28578.41992,30310.62,30263.3996,30154.87083,29972.16,29424.37959,30026.25084,29748.22,29876.98047,30030.28001,30522.02002,31986.66016,30719.95953,31147.63953,28855.17969,29689.94977,29675.84977
41,28576,28517.29001,27533.5,27590.43945,29024.33,29002.88971,29094.54077,28753.28,28208.41972,28945.59077,28187.48,28601.7793,28874.84914,29380.08913,30606.10938,30073.5605,30297.7905,28022.11914,28642.59038,28626.75037
42,27050,27137.39999,26425.31055,26436.48047,27626.62,27584.70993,27781.55933,27393.45,26867.79991,27588.72933,26670.37,27371.98047,27406.74066,27989.29066,28692.01953,28601.38902,28924.52902,26750.30078,27317.4491,27299.8391
43,25645,25856.39,25177.98047,25296.64063,26199.68,26154.73953,26301.30009,26045.73,25520.32953,26117.01008,25433.39,25847.16016,25944.90992,26514.13992,26605.48047,26911.19092,27125.38093,25321.13086,25854.64024,25842.16024
44,24084,24469.93,23846.85938,24136.5,24886.14,24788.83011,24749.67075,24499.44,24292.07011,24573.82076,24035.46,24405.41992,24483.41998,24940.22997,24807.4707,25462.8403,25677.9403,23944.19922,24305.90935,24304.34934
45,22732,23134.97,22582.65039,23074.41992,23543.4,23395.32062,23343.34054,22975.85,23048.95061,23237.07053,22893.76,23122.17969,23213.37983,23561.99983,23104.75977,23878.80937,24190.25937,22658.96094,22877.76947,22889.99947
46,21618,22042.46,21499.61914,22021.51953,22365.11,22196.99905,22192.80961,21744.14,21933.16905,22110.4196,22041.84,21852.83008,22104.68066,22456.60065,21700.43945,22650.82006,22981.53006,21696.59961,21667.90045,21694.35046
47,20513,21211.47999,20695.46094,21161.19922,21443.8,21273.74081,21395.07996,20790.72,21108.85081,21363.35995,21317.88,20871.4707,21264.76978,21531.6298,20935.26953,21354.42915,21801.63916,21061.33984,20798.81088,20875.08088
48,20156,20838.43001,20131.34961,20422.44922,20767.54,20749.94086,20914.8292,20396.72,20696.36087,20873.4592,21032.36,20141.66016,20779.31903,21013.46902,20554.51953,21096.33965,21559.94965,20746.14063,20249.37973,20381.37973